영상편집에 필요한 정보,,,,,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DateTime,Accident number,Member year,Year of accident,Month of accident,Weekday,Time,GPS latitude,GPS longitude,Country,Accident description,Collision type,Accident type,Participant A referring accident type,Participant B referring accident type,Main contributing factor,Road type,Road surface,Road condition,Lane separation,Light condition,Weather 1,Weather 2,Location,Emergency arrival,Accident Severity,PCM data available,Case status,Vsim,comment,,영상유무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CASENR,CASENR,MEMYEAR,YEAR,MONTH,WDAY,TIME,GPSLAT,GPSLONG,COUNTRY,ACCDESC,COLLTYPE,ACCTYPE,ACCTYPEA,ACCTYPEB,MAINFACT,ROADTYPE,ROADSURF,ROADCOND,LANESEPAR,LIGHTCON,WEATHER1,WEATHER2,LOCATION,EMARRIV,ACCSEV,PCMAVAIL,STATUS,CASENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이벤트시작(초),이벤트끝(초),파일명(mp4),기준날짜시간,상위폴더,폴더명(datetime),CASENR,MEMYEAR,YEAR,MONTH,WDAY,TIME,GPSLAT,GPSLONG,COUNTRY,ACCDESC,COLLTYPE,사고유형,차량A,차량B,MAINFACT,도로규모,표면재질,표면습도,도로분리,빛조건,날씨,WEATHER2,LOCATION,EMARRIV,ACCSEV,PCMAVAIL,STATUS,,,도로명주소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주행 테스트,2024-08-06_10-33-29,2024-08-07_Y,2024-08-06_10-33-29,,2024,2024,8,2,1033,37.2368,126.769,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"교통안전공단 자동차안전연구원, Curve road, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주행 테스트,2024-08-06_10-42-58,2024-08-07_Y,2024-08-06_10-42-58,,2024,2024,8,2,1042,37.2349,126.769,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"교통안전공단 자동차안전연구원, Curve road, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주행 테스트,2024-08-06_11-04-22,2024-08-07_Y,2024-08-06_11-04-22,,2024,2024,8,2,1104,37.2379,126.768,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"교통안전공단 자동차안전연구원, Curve road, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주행 테스트,2024-08-06_11-16-40,2024-08-07_Y,2024-08-06_11-16-40,,2024,2024,8,2,1116,37.2348,126.769,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"교통안전공단 자동차안전연구원, Curve road, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주행테스트,2024-08-05_13-25-26,2024-08-07_Y,2024-08-05_13-25-26,,2024,2024,8,1,1325,37.2383,126.77,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"교통안전공단 자동차안전연구원, Curve road, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주행테스트 ,2024-07-17_14-31-41,2024-07-17,2024-07-17_14-31-41,,2024,2024,7,3,1431,37.2424,126.775,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"자율주행시험지구 K-city, 송산비봉로, 고정리, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주행테스트? 영상,2024-07-05_12-47-06,2024-07-08,2024-07-05_12-47-06,,2024,2024,7,5,1247,37.2426,126.775,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"자율주행시험지구 K-city, 송산비봉로, 고정리, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주행테스트? 영상,2024-07-05_12-48-57,2024-07-08,2024-07-05_12-48-57,,2024,2024,7,5,1248,37.2427,126.775,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"자율주행시험지구 K-city, 송산비봉로, 고정리, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주행테스트? 영상,2024-07-05_12-51-15,2024-07-08,2024-07-05_12-51-15,,2024,2024,7,5,1251,37.2427,126.775,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"자율주행시험지구 K-city, 송산비봉로, 고정리, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-01-13_12-43-10,99_20230116_정리필요,2023-01-13_12-43-10,,2023,2023,1 ,5,1243,37.163,126.845,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"현대기아로, 노하리, 화성시, 경기도, 18574, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-02-10_11-33-23,20230228_정리필요_임시삭제,2023-02-10_11-33-23,,2023,2023,2 ,5,1133,37.2431,126.888,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"화성로, 구포리, 화성시, 경기도, 18286, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-03-07_17-12-19,20230323_정리필요_임시삭제,2023-03-07_17-12-19,,2023,2023,3 ,2,1712,37.2096,126.75,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"화성로, 삼존리, 화성시, 경기도, 18549, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-03-14_11-43-54,20230323_정리필요_임시삭제,2023-03-14_11-43-54,,2023,2023,3 ,2,1143,37.3994,127.746,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"광주원주고속도로, 단석리, 양평군, 경기도, 12539, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-03-15_10-42-56,20230323_정리필요_임시삭제,2023-03-15_10-42-56,,2023,2023,3 ,3,1042,37.3811,126.982,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"수도권제1순환고속도로, 내손동, 내손2동, 의왕시, 경기도, 16031, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-03-21_07-45-32,20230323_정리필요_임시삭제,2023-03-21_07-45-32,,2023,2023,3 ,2,0745,37.2133,126.761,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"용포리, 화성시, 경기도, 18537, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-02-25_10-05-14,20230330_Y_정리필요_임시삭제,2023-02-25_10-05-14,,2023,2023,2 ,6,1005,37.5587,127.175,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"수도권제1순환고속도로, 강일동, 상일2동, 강동구, 서울, 05216, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-02-26_10-57-44,20230330_Y_정리필요_임시삭제,2023-02-26_10-57-44,,2023,2023,2 ,7,1057,37.6591,127.366,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"신경춘로, 화도읍, 남양주시, 경기도, 12192, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-03-11_11-10-40,20230330_Y_정리필요_임시삭제,2023-03-11_11-10-40,,2023,2023,3 ,6,1110,37.5292,127.109,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"강동대로, 풍납동, 풍납2동, 송파구, 서울, 05535, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-03-29_11-42-22,20230413_정리필요_임시삭제,2023-03-29_11-42-22,,2023,2023,3 ,3,1142,37.3682,127.9,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"중앙고속도로, 신평1리, 신평리, 원주시, 강원특별자치도, 26348, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-03-29_11-53-55,20230413_정리필요_임시삭제,2023-03-29_11-53-55,,2023,2023,3 ,3,1153,37.4003,127.713,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"광주원주고속도로, 여주시, 양평군, 경기도, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,k,특이사항 없음,2023-05-18_10-54-59,20230525_Y_정리필요_임시삭제,2023-05-18_10-54-59,,2023,2023,5 ,4,1054,37.5073,126.972,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"올림픽대로, 흑석동, 노량진1동, 동작구, 서울, 06972, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-05-18_11-02-45,20230525_Y_정리필요_임시삭제,2023-05-18_11-02-45,,2023,2023,5 ,4,1102,37.5398,126.898,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"노들로, 당산동5가, 당산2동, 영등포구, 서울, 07206, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-06-07_16-46-14,20230614_정리필요_임시삭제,2023-06-07_16-46-14,,2023,2023,6 ,3,1646,37.2118,126.76,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"용포리, 화성시, 경기도, 18537, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-06-07_17-03-46,20230614_정리필요_임시삭제,2023-06-07_17-03-46,,2023,2023,6 ,3,1703,37.1977,126.956,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"수도권제2순환고속도로, 분천리, 화성시, 경기도, 18302, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-06-22_11-19-13,20230630_정리필요_임시삭제,2023-06-22_11-19-13,,2023,2023,6 ,4,1119,37.1959,127.015,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"봉영로, 화성시, 경기도, 18360, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-06-22_11-21-43,20230630_정리필요_임시삭제,2023-06-22_11-21-43,,2023,2023,6 ,4,1121,37.2189,127.044,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"경기도농업기술원, 봉영로, 진안동, 화성시, 경기도, 18393, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-07-07_06-58-20,20230712_정리필요_임시삭제,2023-07-07_06-58-20,,2023,2023,7 ,5,0658,37.1979,126.955,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"수도권제2순환고속도로, 분천리, 화성시, 경기도, 18332, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-07-07_10-59-14,20230712_정리필요_임시삭제,2023-07-07_10-59-14,,2023,2023,7 ,5,1059,37.2091,126.764,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"화성로, 석교리, 화성시, 경기도, 18537, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-07-07_11-04-36,20230712_정리필요_임시삭제,2023-07-07_11-04-36,,2023,2023,7 ,5,1104,37.2051,126.803,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"화성로, 남양읍, 화성시, 경기도, 18261, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-07-07_11-47-05,20230712_정리필요_임시삭제,2023-07-07_11-47-05,,2023,2023,7 ,5,1147,37.2106,126.833,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"남양로, 남양읍, 화성시, 경기도, 18262, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-07-07_11-59-07,20230712_정리필요_임시삭제,2023-07-07_11-59-07,,2023,2023,7 ,5,1159,37.249,126.947,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"비봉매송로, 천천리, 화성시, 경기도, 18289, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-07-07_12-14-54,20230712_정리필요_임시삭제,2023-07-07_12-14-54,,2023,2023,7 ,5,1214,37.3956,127.047,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"수도권제1순환고속도로, 운중동, 분당구, 성남시, 경기도, 13455, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-07-18_07-46-28,20230728_정리필요,2023-07-18_07-46-28,,2023,2023,7 ,2,0746,37.2098,126.75,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"화성로, 삼존리, 화성시, 경기도, 18549, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-07-29_09-41-18,20230816_정리필요,2023-07-29_09-41-18,,2023,2023,7 ,6,0941,37.5346,127.093,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"강변역로4길, 구의3동, 광진구, 서울, 05116, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-07-29_13-00-00,20230816_정리필요,2023-07-29_13-00-00,,2023,2023,7 ,6,1300,37.5323,127.093,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"강변역로4길, 구의3동, 광진구, 서울, 05116, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-11_10-03-30,20230816_정리필요,2023-08-11_10-03-30,,2023,2023,8 ,5,1003,37.2386,127.57,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"영동고속도로, 오산리, 여주시, 경기도, 12649, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-11_10-22-21,20230816_정리필요,2023-08-11_10-22-21,,2023,2023,8 ,5,1022,37.317,127.829,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"원문로, 건등리, 원주시, 강원특별자치도, 26372, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-11_15-28-42,20230816_정리필요,2023-08-11_15-28-42,,2023,2023,8 ,5,1528,37.3052,127.949,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"원주시 국도대체우회도로, 서곡리, 원주시, 강원특별자치도, 26401, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-11_15-31-00,20230816_정리필요,2023-08-11_15-31-00,,2023,2023,8 ,5,1531,37.2924,127.913,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"흥업 교차로, 북원로, 흥업면, 원주시, 강원특별자치도, 26404, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-17_10-08-30,20230829_정리필요_자동삭제,2023-08-17_10-08-30,,2023,2023,8 ,4,1008,37.184,127.443,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"중부고속도로, 고은리, 이천시, 경기도, 17180, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-17_10-08-55,20230829_정리필요_자동삭제,2023-08-17_10-08-55,,2023,2023,8 ,4,1008,37.1812,127.443,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"어농리, 이천시, 경기도, 17398, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-17_10-16-53,20230829_정리필요_자동삭제,2023-08-17_10-16-53,,2023,2023,8 ,4,1016,37.1755,127.48,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"진상미로, 원두리, 이천시, 경기도, 17408, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-24_10-05-42,20230829_정리필요_자동삭제,2023-08-24_10-05-42,,2023,2023,8 ,4,1005,37.2359,126.774,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"교통안전공단 자동차안전연구원, Curve road, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-24_14-15-20,20230829_정리필요_자동삭제,2023-08-24_14-15-20,,2023,2023,8 ,4,1415,37.2113,126.825,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"남양천로, 남양읍, 화성시, 경기도, 18262, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-29_10-00-11,20230829_정리필요_자동삭제,2023-08-29_10-00-11,,2023,2023,8 ,2,1000,37.2428,126.775,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"자율주행시험지구 K-city, 송산비봉로, 고정리, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-29_13-26-35,20230829_정리필요_자동삭제,2023-08-29_13-26-35,,2023,2023,8 ,2,1326,37.2438,126.774,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"자율주행시험지구 K-city, 송산비봉로, 고정리, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-08-29_13-52-28,20230909_정리필요,2023-08-29_13-52-28,,2023,2023,8 ,2,1352,37.2434,126.774,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"자율주행시험지구 K-city, 송산비봉로, 고정리, 화성시, 경기도, 18248, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-09-14_14-05-42,20230923_정리필요,2023-09-14_14-05-42,,2023,2023,9 ,4,1405,37.5343,127.093,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"동서울터미널 하차장, 강변역로4길, 구의3동, 광진구, 서울, 05116, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-09-21_08-00-15,20230923_정리필요,2023-09-21_08-00-15,,2023,2023,9 ,4,0800,37.2088,126.924,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"수도권제2순환고속도로, 상기리, 화성시, 경기도, 18332, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-10-15_12-05-27,20231027_정리필요,2023-10-15_12-05-27,,2023,2023,10 ,7,1205,37.5395,127.039,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"동부간선도로, 성수동1가, 성수1가1동, 성동구, 서울, 04769, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,특이사항 없음,2023-10-15_16-47-38,20231027_정리필요,2023-10-15_16-47-38,,2023,2023,10 ,7,1647,37.5745,127.08,KR,,99999,미분류,,,99999,,,,,,,77777,,7777,1,2,4,,,"센타빌딩, 492, 동일로, 면목4동, 중랑구, 서울, 02243, 대한민국",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
